365,SD ALAN'S AUTO RECYCLING 1800 SEGER DRIVE RAPID CITY SD 57701,2
366,"TN Madison, TN MADISON,TN,37115",2
367,"TN Nashville, TN NASHVILLE,TN,37211",2
368,"TX 11022 MESA DRIVE HOUSTON,TX,77078",2
369,"TX 1107 BROADWAY PASADENA,TX,77506",2
370,"TX 12100 WEST LITTLE YORK RD HOUSTON,TX,77041",2
371,"TX 1528 STATE HIGHWAY 71 COLUMBUS,TX,78934",2
372,"TX 16602 E HARDY RD HOUSTON,TX,77032",2
373,"TX 18600 WILBER ROAD HAMSHIRE,TX,77622",2
374,"TX 23010 FIREFLY RD FLORENCE,TX,76527",2
375,"TX 3748 MCPHERSON DR JUSTIN,TX,76247",2
376,"TX 5000 I-10 SEALY,TX,77474",2
377,"TX 711 RANKIN ROAD HOUSTON,TX,77073",2
378,"TX 8119 MILLER ROAD NO. 3 HOUSTON,TX,77049",2
379,"TX AUSTIN - IAA 2191 HIGHWAY 21 WEST DALE,TX,78616",2
380,"TX Beaumont Hwy_CAT Yard 17011 BEAUMONT HWY HOUSTON,TX,77049",2
381,"TX CAT Houston Oates Rd. 1 4605 OATES ROAD HOUSTON,TX,77013",2
382,"TX CAT YARD 3 7575 FM 2004 HITCHCOCK,TX,77563",2
383,"TX CAT YARD 5 12100 WEST LITTLE YORK RD HOUSTON,TX,77041",2
384,"TX CAT YARD D 18100 US-59 BUSINESS NEW CANEY,TX,77357",2
385,"TX GRAND PRAIRIE,TX,75050",2
386,"TX Offsite Offsite - Dallas TX 75229 DALLAS,TX,75229",2
387,"TX SAN ANTONIO-SOUTH 11275 SOUTH ZARZAMORA SAN ANTONIO,TX,78224",2
388,"TX SAN BENITO,TX,78586",2
389,"VA BRISTOL,VA,24202",2
390,"VA Doswell - 711 DOSWELL, VA, 23047",2
391,"VA IAA CULPEPER 15201 REVIEW RD CULPEPER,VA,22701",2
392,"VA IAA Pulaski 7054 SALLING BRANCH ROAD FAIRLAWN,VA,24141",2
393,"VA MANASSAS,VA,20111",2
394,"VA Montvale Yard #724 1576 QUARTERWOOD RD MONTVALE,VA,24122",2
